date,open,close,high,low,return
2020-01-02,4121.35,4152.24,4172.66,4121.35,
2020-01-03,4161.22,4144.96,4164.3,4131.86,-0.0017532705238617
2020-01-06,4120.52,4129.3,4170.64,4102.38,-0.0037780822975371
2020-01-07,4137.4,4160.23,4161.25,4135.1,0.007490373671082
2020-01-08,4139.63,4112.32,4149.81,4101.98,-0.0115161902106373
2020-01-09,4145.53,4164.37,4165.66,4143.59,0.0126570889424948
2020-01-10,4177.58,4163.18,4180.98,4148.48,-0.0002857575095391
2020-01-13,4166.93,4203.99,4203.99,4148.6,0.009802602818038
2020-01-14,4215.16,4189.89,4223.51,4188.08,-0.0033539565983742
2020-01-15,4186.88,4166.73,4193.87,4150.88,-0.0055275914164812
2020-01-16,4174.82,4149.04,4175.29,4142.18,-0.0042455354678607
2020-01-17,4162.19,4154.85,4177.03,4141.64,0.001400323930355
2020-01-20,4170.74,4185.83,4185.96,4149.49,0.0074563461978169
2020-01-21,4165.02,4114.31,4165.02,4113.33,-0.0170862170704494
2020-01-22,4093.8,4131.93,4141.18,4046.49,0.0042826136095723
2020-01-23,4093.32,4003.9,4103.52,3972.39,-0.0309855200838349
2020-02-03,3639.91,3688.36,3732.16,3639.91,-0.078808162042009
2020-02-04,3652.0,3785.64,3786.86,3652.0,0.0263748657940112
2020-02-05,3801.1,3828.53,3866.01,3781.61,0.0113296562800477
2020-02-06,3841.75,3899.78,3914.92,3806.96,0.0186102760067179
2020-02-07,3879.55,3899.87,3899.88,3849.71,2.3078224925532357e-05
2020-02-10,3872.37,3916.01,3920.17,3861.01,0.0041385994917779
2020-02-11,3926.42,3952.46,3970.52,3915.71,0.0093079435445773
2020-02-12,3945.67,3984.43,3984.43,3940.67,0.0080886334080547
2020-02-13,3985.88,3959.92,3999.55,3950.14,-0.0061514444977072
2020-02-14,3954.23,3987.73,4001.56,3954.02,0.0070228691488716
2020-02-17,3999.65,4077.42,4077.45,3999.65,0.0224914926537151
2020-02-18,4069.83,4057.51,4076.39,4027.79,-0.0048829897337041
2020-02-19,4049.59,4051.31,4085.17,4042.85,-0.0015280307380635
2020-02-20,4062.9,4144.66,4148.53,4055.81,0.0230419296474473
2020-02-21,4134.87,4149.49,4184.44,4130.17,0.0011653549386438
2020-02-24,4131.84,4132.84,4149.01,4097.18,-0.004012541300256
2020-02-25,4066.3,4123.85,4126.71,4020.91,-0.0021752596277619
2020-02-26,4070.1,4073.02,4132.78,4061.13,-0.0123258605429393
2020-02-27,4084.08,4084.88,4110.53,4067.44,0.0029118442826208
2020-02-28,3988.73,3940.05,4031.15,3928.07,-0.035455141889113
2020-03-02,3968.84,4069.67,4092.54,3968.84,0.0328980596692936
2020-03-03,4125.14,4091.36,4147.65,4067.91,0.0053296704646814
2020-03-04,4078.5,4115.05,4115.26,4060.73,0.0057902506745923
2020-03-05,4150.21,4206.73,4215.85,4127.04,0.0222791946634912
2020-03-06,4158.2,4138.51,4181.31,4135.39,-0.0162168715367991
2020-03-09,4063.08,3997.13,4063.08,3995.13,-0.0341620534926822
2020-03-10,3975.23,4082.73,4093.0,3954.75,0.0214153655247639
2020-03-11,4090.93,4028.43,4091.27,4028.4,-0.0132999243153478
2020-03-12,3976.11,3950.91,3987.43,3926.27,-0.0192432287516476
2020-03-13,3771.01,3895.31,3937.18,3765.15,-0.0140727073003434
2020-03-16,3899.86,3727.84,3899.86,3720.51,-0.0429927271513691
2020-03-17,3739.78,3709.68,3786.89,3618.31,-0.0048714537104597
2020-03-18,3729.69,3636.26,3775.85,3636.26,-0.0197914644928941
2020-03-19,3623.79,3589.09,3647.99,3503.19,-0.0129721197054116
2020-03-20,3629.51,3653.22,3663.95,3588.78,0.0178680389736674
2020-03-23,3542.68,3530.31,3585.8,3523.79,-0.0336442918849672
2020-03-24,3598.65,3625.11,3627.76,3545.45,0.0268531658692863
2020-03-25,3711.48,3722.52,3732.65,3685.99,0.0268709087448379
2020-03-26,3692.61,3698.05,3736.25,3681.27,-0.0065735039704285
2020-03-27,3746.39,3710.06,3758.78,3709.92,0.0032476575492488
2020-03-30,3657.46,3674.11,3690.64,3637.59,-0.009689870244686
2020-03-31,3708.14,3686.16,3716.07,3676.2,0.0032797058335214
2020-04-01,3682.3,3675.08,3731.78,3670.97,-0.0030058380536927
2020-04-02,3656.32,3734.53,3734.53,3652.32,0.0161765186063977
2020-04-03,3721.48,3713.22,3738.83,3698.98,-0.0057062066712545
2020-04-07,3779.91,3798.02,3803.63,3772.21,0.0228373217854045
2020-04-08,3776.42,3780.34,3793.0,3767.29,-0.0046550571087039
2020-04-09,3798.49,3792.81,3801.72,3785.31,0.0032986450954146
2020-04-10,3794.84,3769.18,3824.74,3758.96,-0.0062302092643713
2020-04-13,3751.71,3753.26,3769.88,3740.19,-0.0042237303604496
2020-04-14,3777.83,3825.7,3825.76,3764.98,0.0193005547177651
2020-04-15,3820.85,3797.36,3829.8,3793.44,-0.007407794651959
2020-04-16,3777.8,3802.38,3807.36,3774.56,0.0013219710535741
2020-04-17,3831.92,3839.49,3863.45,3821.42,0.0097596768339829
2020-04-20,3845.46,3853.46,3853.8,3831.55,0.0036385040721553
2020-04-21,3838.23,3808.05,3838.23,3780.0,-0.0117842147057449
2020-04-22,3789.13,3839.38,3839.38,3782.21,0.0082273079397592
2020-04-23,3851.91,3829.75,3857.47,3826.56,-0.0025082174726127
2020-04-24,3826.31,3796.97,3827.21,3787.07,-0.0085593054376917
2020-04-27,3808.02,3822.77,3842.87,3793.77,0.0067948917162896
2020-04-28,3835.35,3849.15,3859.68,3768.2,0.0069007552115352
2020-04-29,3837.51,3867.03,3880.74,3833.72,0.0046451814036865
2020-04-30,3880.41,3912.58,3921.7,3880.41,0.0117790655878025
2020-05-06,3867.26,3936.25,3937.69,3865.99,0.0060497165553163
2020-05-07,3937.59,3924.89,3941.48,3915.9,-0.0028859955541442
2020-05-08,3943.0,3963.62,3979.66,3935.98,0.0098677924731649
2020-05-11,3974.76,3960.18,3998.1,3944.5,-0.0008678934913034
2020-05-12,3961.34,3960.24,3970.11,3930.21,1.5150826477627888e-05
2020-05-13,3946.64,3968.25,3972.53,3932.57,0.0020226046906248
2020-05-14,3952.2,3925.22,3952.2,3924.05,-0.0108435708435709
2020-05-15,3941.13,3912.82,3945.2,3907.4,-0.003159058600537
2020-05-18,3914.66,3922.91,3946.43,3898.4,0.0025787028281392
2020-05-19,3963.78,3956.25,3966.85,3944.07,0.0084987929878586
2020-05-20,3955.71,3935.22,3955.71,3923.92,-0.0053156398104265
2020-05-21,3950.6,3913.79,3951.74,3907.58,-0.0054456929981042
2020-05-22,3907.58,3824.06,3907.58,3818.15,-0.0229266261092189
2020-05-25,3828.32,3829.32,3835.63,3800.18,0.0013755014304168
2020-05-26,3850.0,3872.77,3874.75,3844.48,0.0113466620705502
2020-05-27,3873.7,3845.61,3873.7,3838.42,-0.0070130681656798
2020-05-28,3848.49,3856.63,3885.42,3818.43,0.0028656051965747
2020-05-29,3838.38,3867.02,3872.3,3830.42,0.0026940619141582
2020-06-01,3901.73,3971.34,3976.32,3901.73,0.0269768452193162
2020-06-02,3969.95,3983.57,3991.78,3958.98,0.0030795650838255
2020-06-03,4001.17,3983.65,4018.68,3982.93,2.00824888227924e-05
2020-06-04,3998.16,3982.19,3999.81,3968.57,-0.0003664980608236
2020-06-05,3988.22,4001.25,4001.25,3967.93,0.0047863110499499
2020-06-08,4023.61,4021.95,4050.22,4016.1,0.0051733833177132
2020-06-09,4027.56,4047.03,4052.16,4016.34,0.0062357811509343
2020-06-10,4046.23,4039.71,4046.23,4024.42,-0.001808733812203
2020-06-11,4031.74,3995.88,4043.01,3979.75,-0.0108497887224577
2020-06-12,3931.62,4003.08,4011.06,3927.25,0.0018018559115888
2020-06-15,3982.97,3954.99,4007.14,3954.99,-0.0120132497976558
2020-06-16,3995.58,4014.57,4014.57,3987.86,0.0150645134374549
2020-06-17,4018.61,4017.59,4018.61,3992.13,0.0007522598933384
